,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__n_estimators,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.25349440574646,0.06693037578967521,0.009250354766845704,0.001451961656685789,,1,50,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 50, 'smote__sampling_strategy': 0.5}",0.5333333333333333,0.5,0.4533333333333333,0.4186046511627907,0.4675324675324675,0.474560757072385,0.03932545476431035,35
1,3.6944747447967528,0.051805685636581666,0.009184551239013673,0.0017170551540567653,,1,50,1.0,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 50, 'smote__sampling_strategy': 1.0}",0.5633802816901409,0.5,0.47619047619047616,0.3829787234042553,0.4155844155844156,0.46762677937385766,0.0635040101583134,50
2,3.554516553878784,0.048029194227239703,0.010502910614013672,0.0019702694167890605,,1,50,auto,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 50, 'smote__sampling_strategy': 'auto'}",0.5633802816901409,0.5,0.47619047619047616,0.3829787234042553,0.4155844155844156,0.46762677937385766,0.0635040101583134,50
3,4.178676128387451,0.04592478512015738,0.014606809616088868,0.0024271932108563257,,1,100,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100, 'smote__sampling_strategy': 0.5}",0.5666666666666667,0.5060240963855421,0.47368421052631576,0.38636363636363635,0.4383561643835616,0.4742189548651445,0.06093132056029162,37
4,7.085097026824951,0.11202386794028812,0.014976930618286134,0.0014429348582800491,,1,100,1.0,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100, 'smote__sampling_strategy': 1.0}",0.5671641791044776,0.5581395348837209,0.47619047619047616,0.32941176470588235,0.4935064935064935,0.4848824896782101,0.08539079804171568,8
5,7.132740211486817,0.06294501932034675,0.0169189453125,0.0007761015473655939,,1,100,auto,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100, 'smote__sampling_strategy': 'auto'}",0.5671641791044776,0.5581395348837209,0.47619047619047616,0.32941176470588235,0.4935064935064935,0.4848824896782101,0.08539079804171568,8
6,8.383728456497192,0.08331779554909555,0.027806472778320313,0.0018094150127513225,,1,200,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 200, 'smote__sampling_strategy': 0.5}",0.5483870967741935,0.5185185185185185,0.5,0.4,0.3888888888888889,0.47115890083632017,0.06460786433531987,40
7,14.118477773666381,0.13131972158281272,0.027996015548706055,0.000858907852119046,,1,200,1.0,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 200, 'smote__sampling_strategy': 1.0}",0.5757575757575758,0.5287356321839081,0.47619047619047616,0.3764705882352941,0.48717948717948717,0.48886675190934825,0.0662359046445131,3
8,14.099122238159179,0.10039628566949016,0.029608821868896483,0.0018660420150617577,,1,200,auto,"{'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 200, 'smote__sampling_strategy': 'auto'}",0.5757575757575758,0.5287356321839081,0.47619047619047616,0.3764705882352941,0.48717948717948717,0.48886675190934825,0.0662359046445131,3
9,2.018013095855713,0.021093737339937742,0.008747720718383789,0.0008624110590379285,,2,50,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 50, 'smote__sampling_strategy': 0.5}",0.5070422535211268,0.55,0.47368421052631576,0.3953488372093023,0.46153846153846156,0.4775227525590413,0.051277941967169824,32
10,3.39489541053772,0.03212953701429273,0.009613418579101562,0.0007187692431343608,,2,50,1.0,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 50, 'smote__sampling_strategy': 1.0}",0.4788732394366197,0.5227272727272727,0.46511627906976744,0.41304347826086957,0.4523809523809524,0.4664282443750964,0.035702771359888356,53
11,3.5763497829437254,0.23595664522637463,0.008408832550048827,0.000948595055973176,,2,50,auto,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 50, 'smote__sampling_strategy': 'auto'}",0.4788732394366197,0.5227272727272727,0.46511627906976744,0.41304347826086957,0.4523809523809524,0.4664282443750964,0.035702771359888356,53
12,4.0190160274505615,0.10627902262232748,0.015784454345703126,0.001843410932790651,,2,100,0.5,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 100, 'smote__sampling_strategy': 0.5}",0.5454545454545454,0.5609756097560976,0.45569620253164556,0.3953488372093023,0.425,0.47649503899031814,0.06566797860576494,33
13,6.641080093383789,0.06231653956214006,0.01578807830810547,0.0007920241226674459,,2,100,1.0,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 100, 'smote__sampling_strategy': 1.0}",0.5333333333333333,0.5168539325842697,0.4634146341463415,0.3956043956043956,0.49411764705882355,0.48066478854543265,0.048574576544929804,16
14,6.710514259338379,0.14175179073404748,0.014361429214477538,0.0014815615453886593,,2,100,auto,"{'rf__max_depth': None, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 100, 'smote__sampling_strategy': 'auto'}",0.5333333333333333,0.5168539325842697,0.4634146341463415,0.3956043956043956,0.49411764705882355,0.48066478854543265,0.048574576544929804,16
