,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2126309871673584,0.016098684759436935,0.0073091983795166016,0.0024407717366383775,0.01,3,100,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 0.5}",0.5052631578947369,0.46017699115044247,0.33962264150943394,0.3816793893129771,0.4672897196261682,0.4308063798987517,0.06077073970781296,55
1,0.23895645141601562,0.003928153967385544,0.006079721450805664,0.001810531107495483,0.01,3,100,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 1.0}",0.3373493975903614,0.3684210526315789,0.27058823529411763,0.3068181818181818,0.34146341463414637,0.3249280563936773,0.033466796157647194,80
2,0.2390817165374756,0.004526122244281138,0.006795740127563477,0.001639865675145584,0.01,3,100,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 'auto'}",0.3373493975903614,0.3684210526315789,0.27058823529411763,0.3068181818181818,0.34146341463414637,0.3249280563936773,0.033466796157647194,80
3,0.34350194931030276,0.009881583176471257,0.007666730880737304,0.0014516104613750847,0.01,3,200,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 0.5}",0.46153846153846156,0.46153846153846156,0.3389830508474576,0.36496350364963503,0.4642857142857143,0.418261838371946,0.054753571600478446,62
4,0.4873517990112305,0.08403418494917758,0.009705781936645508,0.00198356047102753,0.01,3,200,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 1.0}",0.3558282208588957,0.36477987421383645,0.3067484662576687,0.3253012048192771,0.3945578231292517,0.34944311785578597,0.030714776600213687,78
5,0.3947610378265381,0.01007784023316201,0.007108926773071289,0.0013019831705885629,0.01,3,200,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 'auto'}",0.3558282208588957,0.36477987421383645,0.3067484662576687,0.3253012048192771,0.3945578231292517,0.34944311785578597,0.030714776600213687,78
6,0.5340834617614746,0.05832544151293105,0.01192474365234375,0.0024933045658637747,0.01,3,300,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 0.5}",0.46601941747572817,0.4576271186440678,0.33613445378151263,0.373134328358209,0.45614035087719296,0.41781113382734214,0.05300108894945295,63
7,0.5421814918518066,0.006359298523258698,0.009567165374755859,0.0008608696427378281,0.01,3,300,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 1.0}",0.3783783783783784,0.36942675159235666,0.3401360544217687,0.33962264150943394,0.39436619718309857,0.3643860046170072,0.021546655595318695,76
8,0.5491742134094239,0.01312241965320133,0.010084009170532227,0.001497540818223253,0.01,3,300,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 3, 'lgbm__n_estimators': 300, 'smote__sampling_strategy': 'auto'}",0.3783783783783784,0.36942675159235666,0.3401360544217687,0.33962264150943394,0.39436619718309857,0.3643860046170072,0.021546655595318695,76
9,0.36783437728881835,0.012229835112437798,0.006807470321655273,0.0012922264429896186,0.01,5,100,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 0.5}",0.4666666666666667,0.5050505050505051,0.3877551020408163,0.4036697247706422,0.4791666666666667,0.4484617330390594,0.0450957220301428,45
10,0.4144134998321533,0.012255336635681182,0.006679677963256836,0.0025290845855654347,0.01,5,100,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 1.0}",0.3937007874015748,0.43478260869565216,0.34328358208955223,0.3448275862068966,0.4057971014492754,0.38447833316859026,0.03560688958747103,74
11,0.40782575607299804,0.010087270114892353,0.008400201797485352,0.0019673746004561076,0.01,5,100,auto,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 100, 'smote__sampling_strategy': 'auto'}",0.3937007874015748,0.43478260869565216,0.34328358208955223,0.3448275862068966,0.4057971014492754,0.38447833316859026,0.03560688958747103,74
12,0.7164853572845459,0.050095232881197875,0.009103155136108399,0.001608678480031242,0.01,5,200,0.5,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 0.5}",0.49411764705882355,0.5098039215686274,0.375,0.42105263157894735,0.4742268041237113,0.45484020086602195,0.049911173641638794,38
13,0.7570363998413085,0.026953202682651282,0.009806156158447266,0.001458116267553585,0.01,5,200,1.0,"{'lgbm__learning_rate': 0.01, 'lgbm__max_depth': 5, 'lgbm__n_estimators': 200, 'smote__sampling_strategy': 1.0}",0.44642857142857145,0.46774193548387094,0.36065573770491804,0.366412213740458,0.4406779661016949,0.4163832848919027,0.044121036334801085,64
