,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__sampling_strategy,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.22378134727478027,0.02308184510434742,0.006888580322265625,0.0022895719281087142,0.5,0.1,3,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",0.4583333333333333,0.5178571428571429,0.3888888888888889,0.3709677419354839,0.4444444444444444,0.43609831029185864,0.05238183141321739,65
1,0.4058859825134277,0.05331795122495362,0.006927347183227539,0.0001529460369556229,0.5,0.1,3,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",0.4810126582278481,0.4752475247524752,0.3711340206185567,0.39215686274509803,0.47058823529411764,0.43802786032761915,0.0466306948235147,62
2,0.6846049785614013,0.053575505061055,0.007227849960327148,0.001726848038531428,0.5,0.1,3,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 3, 'xgb__n_estimators': 200}",0.48,0.4819277108433735,0.41975308641975306,0.40963855421686746,0.4772727272727273,0.4537184157505442,0.032056105131337546,50
3,0.4674027442932129,0.06395619637664682,0.007414007186889648,0.0018197987129829115,0.5,0.1,5,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",0.47368421052631576,0.5416666666666666,0.42696629213483145,0.4329896907216495,0.46153846153846156,0.467369064317585,0.041008135885768376,37
4,0.7695497989654541,0.04565460298511166,0.015294027328491212,0.018277188599145,0.5,0.1,5,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",0.46153846153846156,0.49382716049382713,0.4155844155844156,0.4418604651162791,0.4691358024691358,0.4563892610404238,0.02633137377099857,47
5,1.2272074222564697,0.06364154820032551,0.007911920547485352,0.0010326467341263228,0.5,0.1,5,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 200}",0.4918032786885246,0.4675324675324675,0.37681159420289856,0.45569620253164556,0.5,0.45836870859110734,0.04380345779930127,46
6,1.1544856548309326,0.05889134571349908,0.005976343154907226,0.0009137030471172464,0.5,0.1,10,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 50}",0.5373134328358209,0.5301204819277109,0.43037974683544306,0.39080459770114945,0.5176470588235295,0.4812530636247308,0.059370584978227794,22
7,1.6199876308441161,0.04900077593621996,0.006893014907836914,0.001749379498954849,0.5,0.1,10,100,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 100}",0.53125,0.5316455696202531,0.4225352112676056,0.41975308641975306,0.5185185185185185,0.4847404771652261,0.05214793486130813,15
8,2.1298912525177003,0.058579276294178424,0.00867457389831543,0.0024610015284440784,0.5,0.1,10,200,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 200}",0.5483870967741935,0.4935064935064935,0.4,0.43037974683544306,0.5454545454545454,0.4835455765141351,0.05990464398146741,18
9,0.19313373565673828,0.00508516960992749,0.006916427612304687,0.0011841655612177865,0.5,0.3,3,50,"{'smote__sampling_strategy': 0.5, 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",0.5205479452054794,0.4782608695652174,0.3404255319148936,0.36363636363636365,0.43478260869565216,0.4275306638035213,0.06774680024316965,75
